time,cwnd,rtt,rto
0.24647760391235352,482,0.011206840789753918,0.012455940246582031
0.24666309356689453,483,0.01138485312649,0.012630939483642578
0.24686908721923828,484,0.011565141232459145,0.012827157974243164
0.24706387519836426,485,0.01174560269484157,0.013008832931518555
0.24726486206054688,486,0.011927020506790086,0.013196945190429688
0.2474966049194336,487,0.012113477252065592,0.01341867446899414
0.24774718284606934,488,0.012306578238181294,0.013658285140991211
0.24799060821533203,489,0.012504896888584414,0.01389312744140625
0.24823260307312012,490,0.012707542576659922,0.014126062393188477
0.24847197532653809,491,0.012910636562591348,0.014332294464111328
0.2487039566040039,492,0.013116000355457126,0.014553546905517578
0.2489311695098877,493,0.013322873392232261,0.014770984649658203
0.24922466278076172,494,0.013539143446795148,0.015053033828735352
0.24952197074890137,495,0.013764619368561111,0.015342950820922852
0.2497854232788086,496,0.013992756203777594,0.015589714050292969
0.25003647804260254,497,0.014223578966131932,0.015839338302612305
0.2502429485321045,498,0.014450284810773765,0.0160372257232666
0.2504425048828125,499,0.014672464480423138,0.01622772216796875
0.25063371658325195,500,0.01488937244476905,0.01640772819519043
0.2508559226989746,501,0.015105869794431096,0.01662135124206543
0.25107765197753906,502,0.015321680030698498,0.016832351684570312
0.25129222869873047,503,0.01553629299629783,0.017038583755493164
0.2515137195587158,504,0.015750633210444683,0.017251014709472656
0.25169968605041504,505,0.015960264418712462,0.017427682876586914
0.25187110900878906,506,0.016163897700525627,0.017589330673217773
0.2520604133605957,507,0.016364458366225305,0.017768383026123047
0.2522587776184082,508,0.01656367159733313,0.01795816421508789
0.25246572494506836,509,0.01676274890445665,0.01815629005432129
0.2527611255645752,510,0.016972585125765414,0.018441438674926758
0.25295281410217285,511,0.017179020398359557,0.018624067306518555
0.2531447410583496,512,0.017382330829216468,0.018805503845214844
0.25338077545166016,513,0.017588629069451737,0.019032716751098633
0.25361037254333496,514,0.01779664757322144,0.019252777099609375
0.25382232666015625,515,0.018003965935727086,0.0194551944732666
0.25403594970703125,516,0.018210731279271454,0.01965808868408203
0.28565096855163574,517,0.01657776240506809,0.028008544524491648
0.28611087799072266,518,0.015205479448031991,0.024811460147284685
0.286632776260376,519,0.014065468993651527,0.022045542174314772
0.2871220111846924,520,0.013125984967757465,0.019702373149015906
0.28759241104125977,521,0.012359636985642762,0.01772407286044568
0.28792262077331543,522,0.011727974532008339,0.016149611707449295
0.2882070541381836,523,0.011207665009513644,0.014849831666976506
0.28849291801452637,524,0.010784848906410986,0.013744561628129589
0.28878355026245117,525,0.010448084603336053,0.012805434724860582
0.289060115814209,526,0.01018452946271824,0.012029415447042925
0.2893552780151367,527,0.009987833757554852,0.011364703693698571
0.28974318504333496,528,0.009860964940921408,0.010749046657355512
0.2899782657623291,529,0.009776359584002643,0.010368597082433997
0.2902188301086426,530,0.009729122184525263,0.010059783980866932
0.2905583381652832,531,0.00972689010695521,0.009742514649945577
0.29080653190612793,532,0.009754381733600458,0.009946823120117188
0.29103636741638184,533,0.009806033857446054,0.010167598724365234
0.2912614345550537,534,0.00987802175363749,0.010381937026977539
0.29146385192871094,535,0.009965180846261417,0.010575294494628906
0.2916867733001709,536,0.010067909514587628,0.010787010192871094
0.2920098304748535,537,0.010196957350990493,0.011100292205810547
0.29221439361572266,538,0.01033431211220091,0.011295795440673828
0.29241037368774414,539,0.010477683735077651,0.011481285095214844
0.29262256622314453,540,0.01062834666983479,0.011682987213134766
0.2928125858306885,541,0.010782349665603732,0.011860370635986328
0.292999267578125,542,0.010938828179922186,0.012034177780151367
0.29320549964904785,543,0.011098664865866971,0.012217521667480469
0.2933995723724365,544,0.011261320742695246,0.012399911880493164
0.29356908798217773,545,0.01142364199324213,0.012559890747070312
0.2937955856323242,546,0.011592584584586741,0.012775182723999023
0.29401493072509766,547,0.011766814209648774,0.012986421585083008
0.2942209243774414,548,0.011943792442903127,0.013182640075683594
0.29444432258605957,549,0.012125381080182449,0.013396501541137695
0.29464149475097656,550,0.012307904379455297,0.013585567474365234
0.294832706451416,551,0.012490381240623238,0.013767719268798828
0.29504942893981934,552,0.012675380468174728,0.013970375061035156
0.29532289505004883,553,0.01287036517245501,0.014235258102416992
0.29557251930236816,554,0.013071345355213319,0.014478206634521484
0.2958047389984131,555,0.013275157593526498,0.01470184326171875
0.29602479934692383,556,0.01347986835736364,0.014912843704223633
0.2962210178375244,557,0.013682414901117866,0.015100240707397461
0.29645419120788574,558,0.013887031461177108,0.015319347381591797
0.2967231273651123,559,0.014098942912822572,0.01558232307434082
0.2969474792480469,560,0.014311425941740381,0.01579880714416504
0.2971792221069336,561,0.014525213763475958,0.016021728515625
0.2973794937133789,562,0.01473617957004952,0.016212940216064453
0.2975766658782959,563,0.014944348287810053,0.01640152931213379
0.29776716232299805,564,0.015149175483187557,0.016582965850830078
0.2979722023010254,565,0.015352717974211231,0.016777515411376953
0.29816603660583496,566,0.015554033662996961,0.01696324348449707
0.2983725070953369,567,0.015754771806654324,0.01715993881225586
0.2985696792602539,568,0.015953991319363182,0.017348527908325195
0.298738956451416,569,0.016148365355950354,0.017508983612060547
0.2989680767059326,570,0.016345622355981707,0.017726421356201172
0.29918622970581055,571,0.016544597286322252,0.017937421798706055
